START_DATE*,END_DATE*,START*,STOP*,MILES*,PLACE_TYPE*,USER*
1/1/2016 21:11,1/1/2016 21:17,Fort Pierce,Fort Pierce,5.1,BAR,Courtney Jones
1/2/2016 1:25,1/2/2016 1:37,Fort Pierce,Fort Pierce,5.0,OTHERS,Traci Braun
1/2/2016 20:25,1/2/2016 20:38,Fort Pierce,Fort Pierce,4.8,OTHERS,Margaret Brock
1/5/2016 17:31,1/5/2016 17:45,Fort Pierce,Fort Pierce,4.7,SHOPPING,William Walker
1/6/2016 14:42,1/6/2016 15:49,Fort Pierce,West Palm Beach,63.7,RESTAURANT,Jeremy Price
1/6/2016 17:15,1/6/2016 17:19,West Palm Beach,West Palm Beach,4.3,BAR,Michelle Day
1/6/2016 17:30,1/6/2016 17:35,West Palm Beach,Palm Beach,7.1,OFFICE,Heather Maxwell
1/7/2016 13:27,1/7/2016 13:33,Cary,Cary,0.8,OTHERS,Lynn Elliott
1/10/2016 8:05,1/10/2016 8:25,Cary,Morrisville,8.3,RESTAURANT,Steven Jones
1/10/2016 12:17,1/10/2016 12:44,Jamaica,New York,16.5,OTHERS,Margaret Brock
1/10/2016 15:08,1/10/2016 15:51,New York,Queens,10.8,SHOPPING,Richard Reid
1/10/2016 18:18,1/10/2016 18:53,Elmhurst,New York,7.5,OTHERS,Rachel Williams
1/10/2016 19:12,1/10/2016 19:32,Midtown,East Harlem,6.2,GYM,Nicole Garrett
1/11/2016 8:55,1/11/2016 9:21,East Harlem,NoMad,6.4,SHOPPING,Aaron Webb
1/11/2016 11:56,1/11/2016 12:03,Flatiron District,Midtown,1.6,OTHERS,Erika Brown
1/11/2016 13:32,1/11/2016 13:46,Midtown,Midtown East,1.7,OTHERS,David Whitaker
1/11/2016 14:30,1/11/2016 14:43,Midtown East,Midtown,1.9,GYM,Wesley Wilson
1/12/2016 12:33,1/12/2016 12:49,Midtown,Hudson Square,1.9,SHOPPING,Traci Braun
1/12/2016 12:53,1/12/2016 13:09,Hudson Square,Lower Manhattan,4.0,RESTAURANT,Mark Rodriguez DDS
1/12/2016 14:42,1/12/2016 14:56,Lower Manhattan,Hudson Square,1.8,GYM,Ryan Barnes
1/12/2016 15:13,1/12/2016 15:28,Hudson Square,Hell's Kitchen,2.4,SHOPPING,Elizabeth Gross
1/12/2016 15:42,1/12/2016 15:54,Hell's Kitchen,Midtown,2.0,OFFICE,David Whitaker
1/12/2016 16:02,1/12/2016 17:00,New York,Queens County,15.1,OFFICE,Sophia Hernandez
1/13/2016 13:54,1/13/2016 14:07,Downtown,Gulfton,11.2,RESTAURANT,Jeremy Price
1/13/2016 15:00,1/13/2016 15:28,Gulfton,Downtown,11.8,BAR,David Hartman
1/14/2016 16:29,1/14/2016 17:05,Houston,Houston,21.9,GYM,Paul Smith
1/14/2016 21:39,1/14/2016 21:45,Eagan Park,Jamestown Court,3.9,SHOPPING,Alexandria Barrett
1/15/2016 0:41,1/15/2016 1:01,Morrisville,Cary,8.0,BAR,Richard Reid
1/15/2016 11:43,1/15/2016 12:03,Cary,Durham,10.4,GYM,Erika Brown
1/15/2016 13:26,1/15/2016 13:44,Durham,Cary,10.4,RESTAURANT,Alexandria Barrett
1/18/2016 14:55,1/18/2016 15:06,Cary,Cary,4.8,RESTAURANT,Rachel Williams
1/18/2016 16:13,1/18/2016 16:24,Farmington Woods,Whitebridge,4.7,OFFICE,Cynthia Campbell
1/19/2016 9:09,1/19/2016 9:23,Whitebridge,Lake Wellingborough,7.2,SHOPPING,Mark Rodriguez DDS
1/19/2016 10:55,1/19/2016 11:09,Lake Wellingborough,Whitebridge,7.6,RESTAURANT,John Peters
1/20/2016 10:36,1/20/2016 11:11,Cary,Raleigh,17.1,RESTAURANT,Heather Mcguire
1/20/2016 11:48,1/20/2016 12:19,Fayetteville Street,Umstead,15.1,SHOPPING,Heather Maxwell
1/20/2016 13:25,1/20/2016 14:19,Raleigh,Cary,40.2,OTHERS,Rachel Williams
1/21/2016 14:25,1/21/2016 14:29,Cary,Cary,1.6,PLAY ARENA,John Medina
1/21/2016 14:43,1/21/2016 14:51,Cary,Cary,2.4,RESTAURANT,William Jennings
1/21/2016 16:01,1/21/2016 16:06,Cary,Cary,1.0,OTHERS,Rose Cruz
1/26/2016 10:41,1/26/2016 10:50,Whitebridge,Hazelwood,2.0,SHOPPING,Richard Reid
1/26/2016 12:33,1/26/2016 12:41,Hazelwood,Whitebridge,2.3,OFFICE,Brendan Rivera
1/26/2016 16:24,1/26/2016 16:32,Whitebridge,Westpark Place,1.9,PLAY ARENA,Patricia Marshall
1/26/2016 17:17,1/26/2016 17:22,Cary,Cary,1.4,SHOPPING,Sophia Hernandez
1/26/2016 17:27,1/26/2016 17:29,Cary,Cary,0.5,GYM,Chad Davis
1/27/2016 9:24,1/27/2016 9:31,Cary,Cary,1.8,OFFICE,Maria Tran
1/27/2016 10:19,1/27/2016 10:48,Cary,Raleigh,18.7,SHOPPING,Kelly Torres
1/27/2016 12:34,1/27/2016 12:44,Fairmont,Meredith Townes,3.4,RESTAURANT,John Peters
1/27/2016 14:05,1/27/2016 14:13,Raleigh,Raleigh,2.7,BAR,Samantha Coleman
1/27/2016 14:46,1/27/2016 15:08,Raleigh,Cary,12.9,OTHERS,John Medina
1/28/2016 12:28,1/28/2016 13:00,Cary,Raleigh,19.0,BAR,Jeremy Price
1/28/2016 15:11,1/28/2016 15:31,Meredith Townes,Leesville Hollow,14.7,BAR,Erika Brown
1/28/2016 16:21,1/28/2016 16:51,Raleigh,Cary,15.7,PLAY ARENA,David Whitaker
1/29/2016 9:31,1/29/2016 9:45,Cary,Cary,4.6,RESTAURANT,Mark Rodriguez DDS
